mercader camino regreso atravesar
cantidad cosa aquel lugar
baldir demasiado resbaladiza borde
demostrar fuerza poder temiesar
inconsolablemente mientras ver lobo
mientras reflexionar pedir deseo
así dragón descubrir corazón
felicidad depender reflexiona bien
troll solo necesitar crear
ser mejor juego favorito
vez alguien adelantar barbadepega
apto cargo ocupar ordenar
casa dentro poder ver
esperar disculp deber hacer
pasar hora pantallar esperar
suficiente comprar comida ropa
fruta quedar él dormido
vivir aldea remoto japón
lejos pertenecer caballero familia
orgullo emperador hacia antiem
problema nutrición hundir reino
maría despedir él puerta
volver loco pobre papás
empezar recorrer él cara
chirriar todo fuerza momento
mágico traer enorme fortuna
día mientras recorrer inmenso
hora león quedar atrapado
luego instalar magnífico mercado
unidos amor especial siquiera
nochir dar él uno
superficiar tablet liberar él
golpear puerta preguntar finn
respuesta abrir puerta entrar
agua sed dar calor
terrible persona comenzar visitar
corral llevar puerca habitación
caminar mientras montar burro
primavera estallar delicada flor
risa palabra causar león
evidente ninguno dos feliz
cerdo miró camello sentir
posesión vido caballo labrar
él camello poder pasar
acabar amontonado desván almacén
sustituto tampoco saber imitar
pronto llegar momento hada
sediento voló tiempo buscar
tijera aire poder ver
región perdido selva tropical
doña melba notar claramente
saber tocar decidir intentar
encontrar respuesta abrir puerta
curiosidad jack trepó tallo
burlar él demás trabajar
siempre soler regalar él
volar rápidamente hacia lado
niño preguntar cinta responder
cada vez extraño barrio
tortuga llevar consigo enorme
justo frijol quemar cabeza
lleno riqueza construir imponente
poder ir él sitio
cofre gran tesoro pues
creer nunca ir acostumbrar
arreglar desastre causado río
alín comenzar impacientar él
volar hacia manu formar
poder ver anciano solitario
viajar lejos conocer señor
siguiente enterrar pedro pablo
plán deber apartarno realidad
despistado mismo saber cómo
hecho sentir ayudar él
hacer agua bocar pensar
preparado sacrificar bello mujer
sapo seguir comer bailar
si capturo minotauro temer
así murciélago escapar dos
pobrecillo siquiera saber infeliz
bebé poner gritar llorar
duendecillo venir pequeño cuchillo
tú crecido tiempo cerdito
felicidad elsar flop convertido
haber querer ayudar ahora
hacer feliz convertido niña
convertir oro decir severidad
recibido daño vida peligran
admirar belleza cofre quedar
perfecto acceder ayudar él
escuchado acoger princesa enseñar
medio campo piel poder
ofrecer convertir paja oro
casa decir él mientras
hacer rey poderoso sabio
delante núcleo recoger tirar
regalar medalla oro nuevecito
ir ser robo fácil
transcurso tiempo llegar jardín
entrar casa tomar siesta
hada colmar niña hermoso
hija carpintero habitación grande
quedar poco pastor fiesta
saber cantaré mar enorme
encontrar rodeado hielo nieve
preferir solo grano maíz
engañado decir furioso adiós
tigre nuevo rey decidir
visitar cuarto rata pasar
juanito manzana solo generoso
así decir ratón esperar
uno planta darir fruta
vendo red roto pescar
piko solo pajarito cantarín
llevar casa vivir esposa
tener montaña juguet casar
rival muro cristal hacer
chirrido tanto fuerte todo
breve silencio lanzar asalto
sultán preocupado aún decidido
caer noche gritar hechizo
apps apenas atender clase
devotir mar llamado hendrik
oro gran apetito avén
hacer mantequilla azúcar huevo
siguiente rey alegrar encontrar
si poder demostrarte ser
carol escribir cuento navidad
fondo tanto gana seguir
pueblo plantar semilla cada
colina tanto malo fortuna
tarde papás dina llegar
noche invierno enjambre volar
dos ranita agotado detener
maravilla habiendo él hecho
pito camín camina encontrar
bendición tanto poderoso convertir
hacia palacio real conseguir
alegría aquel momento nombrar
caballo escapar hacia montaña
asopao pollo comido favorito
vez tiempo periódico mala
obsequiar pandora cajo oro
aventura debido ridículo desear
nunca tomar desafío ligero
salir rana habilidoso feliz
saber todo alemania hamelín
doctor recordar ahí ír
criticar parar hacer él
totalmente capaz hacer todo
epaminonda envolver mantequilla cuidado
pensar burro realidad león
gran cofre llenar alegría
solicitud decir largo difícil
papá noel aparecer trineo
viajar llegar casilla salido
él tratar evitar él
flor milo adornar pelo
quién ocurrir ponerno príncipe
rato árbol árbol bajar
aquel palabra tanto normal
llegar día juicio maría
último hablar trum hombre
día sapo tanto fiestero
azul portar sonrisa dirigir
novio cabo año casar
entonces voz genio montaña
cómo garganta atorar pequeño
imaginación aún anterior tal
arriba hacia casa madrín
manera desafiante viaje continúar
dar él merecido lección
llegar fiesta retrasado debiendo
monstruo malvados peor tratar
tumba contrabandista encontrar pergamino
niño enseñar poner norma
suerte último enterar él
día olvidar cerrar puerta
defender ratón aún tanto
importar dónde llegar zacaría
cómo hacer mismo viaje
recibo millón carta anterior
hacer deber así famoso
allí quedar solo claudio
él niño mientras abuelos
querer ayudar él quehacere
dejar atrapar lanzado tirachina
final llegar ser tanto
aquel poder cortar cuello
docena pescado decir tortuga
higuera oh higuera favor
allá seis pavo centavo
elegir poder hacerte dichoso
espectral decir gema gema
fin día cuento doc_from_talar
pagar deuda viviremos tranqui
convertir él dueño ciudad
desenterrar puñado espinaca llevar
decir tortuga olvid excelente
planta suculento fruta vegetal
poder ocurrírselir buen escucha
tarta pastel pán panadero
cara sino todo parte
desanimado entonces solo pensar
espejito quién hermosar reino
simpatía devorar solo bocado
lirar instrumento cuerda parecido
día siguiente ambos solo
anansi pasar casa amigo
decir bibliotecario tratar consolar
aflojó cintar completo cabeza
niña acudir correr ver
correr maratónicamente casa alcanzar
araña correr maratónicamente casa
aquí seguir nadar patalear
león decir astuta zorra
claro cazar nadie asegurarnos
acogido fiesta celebración mientras
burla aprendido sufrimiento lugar
esparcido secreto reino rey
orgullo pequeño niño madera
primero paso sentir fuerte
atrevir desafiar perro perseguir
así núcleo vacío llevar
multitud sentir él inconfor
cigüeña servido jarro largo
perder lanzar brazo dar
ciudad gran grupo niño
eracer acercar saludar él
gente sabio encontrar tesoro
tapar sol derramar lluvia
uno piedra mansión comerciante
cinco ganso garbanzo pato
luchar vano llegar orilla
tomar embarcación ambos mano
crees enorme oreja decoración
lugar elegido caníbal hacer
criatura mágico elegir protector
contiguir casar asusto asusto
encontrar allí salir reir
vuelto gobierno reino ir
misión ayudar niño cualquiera
dudar crear nuevo obra
terminar palabra anansi sentir
explicar primero medidor juguete
fuertemente impedir gente oír
escritor llevar él cuento
mamá unir él club
padre perdido trabajar apenas
llevar cucharón lleno frijol
mil mil año sobrevivir
mostrar leñador preguntar hacha
problema poder meter cosa
solo centavo decir doña
pirata barbadepega pasar ciudad
ser diferente significar ser
fornido barba rojo decir
pensar perdido aparecer pequeño
descansar bajo sombra olmo
perder vista bola rodar
sentir infeliz hacer calor
mano aguantar pegar nadie
disfrutar aquel arte logrado
agradecer salvar él vida
miedoso solitario nadie salir
agujero rey mida orejas
solo claudio trabajar todo
alegre correr contárselo amigo
corriente importar hacer gran
pez artista adorar color
loplanto compartir pajarillo poco
hacia río encontrar bote
respirar profundo pastorcito gritar
corazón joven tal prometido
felicidad ahora tanto ocupado
ver frijol humeant pegado
flop convertido dentro duendecillo
ir confiado ver quién
concejal poblador cambiado opinión
dos vecino terminar ser
vez rebotar hundir dentro
desear luchar aquel temible
cargado saco lleno joya
precisamente par metro encima
cada año recibo millón
don estudiete pedido alumno
cuanto paso sonido hacer
tipo color carta amor
entonces abrir gran puerta
juguete intentar tocar finalmente
formulado marido enojó parar
arrancar él atascado tierra
abrazo pulgar hacia arriba
hacer cuanto poder acabar
lobo ninguno lobo hacer
nunca poder viajar lejos
llevar caer río llevar
doña melba voz entrecortado
comenzar correr mezcla sudor
gri tonzio casa loco
tremendo transformado tipo llamado
aquel casi volver loco
anansi paseo bosque palmas
hado asistido nacimiento riquete
ir según planeado ícaro
olvidar él propio diversión
importante vean decidir jefe
domingo madre dos par
viaje troll enamorar tal
hora convertir él rey
mutuamente cada vez exageradamente
animal comer árbol deber
camino colina abajo sudor
miau miau responder gato
allí recibir fuerte abrazo
contar extender mokoko saber
construir muro alto alrededor
sentar mesa libro deber
vivir poder ver espléndido
dormir casa resguardar él
corto pasado tanto bien
él buen bocado abalanzar
señalar cómodo cama hecho
repuso hormiga seguir cantar
lugar comenzar sospechar después
monstruo detener aquel locura
relajante así liebre quedar
luego empezar parecer él
feliz anhelar tener hijo
centro construcción varios cerdito
invierno tardar llegar cigarra
mejor club mundo ofrecer
rana pelo así pensar
bueno decir caer tanto
provenir extraño voz así
puesto simón terminar aún
fuerte tamaño fino oído
grito tanto brutal mosquizampa
cazar animal alimentar él
esperar momento atacar él
hung adoptar niño rescatado
pasar poco mes deuda
abrazar él liar tortazo
mientras recordar acto bondad
decir parecer puerca juan
él sombra frondoso árbol
vencido zorra tomar impulso
mal volar caja formar
llegar momento tomar pluma
puerta puerta ser rechazar
piel zepo rete convertir
madre siempre dar importancia
pensar él poner él
nuevamente hijo subiero burro
bien curar herida tanto
luca continuar leer terminar
sorprés regalo sorpresa visita
roto tirado puerto casa
ver hacer gruñir protestar
sabré dominar él responder
silencio colocar tras pared
él compañero juego enemigo
sustituir pastorcillo así mucho
recibir extrañado nunca visto
gente seguir gritar dar
acariciar cantar rato criatura
servir vestido baile página
comadrejo dónde ir apuro
noche escuchar golpe puerto
comprobar cumplido órdenes llevar
niña valiente copiar actitud
tom cabeza vacío llegar
copa cubrir cabello gris
canción lirar instrumento cuerda
gallín ver frijol humeant
salir casa ver volar
evitar acabar pinta troll
mesa libro deber presentar
decir juan prestar atención
permanecer ahí día hoy
ocultar anciano pescador resolver
anhelo apoderar entonces enferma
circunstancia deber abrir él
carpintero querer impresionar rey
quebrar él millón pequeño
así alguno razón especial
fresco agradable sombra árbol
puesto acuerdo enviar niño
hacer demás animal aprender
genial ahora además ser
asomar cabeza ventana reconocer
aquel temible caballero salío
ratoncito pérez peor cosecho
boca lobo haber seguir
poder llover chocolate pasar
ratón viajar ciudad escondido
viejo hombrecillo gris saludar
anterior además trabajar preparar
mencionar pequeño príncipe nacer
midas elegir rey mortal
cabo uno hora señor
sencillo poder ser exitoso
ferocitaurus planear salir escondite
responder falta madre creado
abrazo venir abrazo ir
llamado pepe grillo vivir
querer poder pelear yo
lejano país norte rey
colgado aquel rama casi
zorro preparado deliciós sopa
continuar conversación añadir lugar
mágico delicado papá troll
poder ganar él simpatir
maíz mediante uso fuerza
gigante decir señora poder
desbordar agua arrancar tierra
sombra olmo esperar ansiosamente
fiel promesa acudir ayuda
dinero peleado hermano televisión
cada vez sentir menos
paja oro encerrado aquí
temporada cárcel aquel ladrón
apasionante libro aventura bien
salud pueblo mejorar tantísimo
aquel último vez nadie
sirviente preferido dios dionisio
ninguno ave llevar cuesta
ahí poderoso gigante vivir
tejía red habitación abuelito
avén caliente tampoco gustar
noche unir castigar rey
crecer demás dragón terminar
poder ser cierto pin
cuanto entrar cabaña gritar
así convertido famoso fantasma
acertar ninfa mientras cabalgar
reservar todo habitación posar
multitud aún grande reunir
antiguo ruina seguir pista
tocar preparar bien viaje
señor gri tonzio casa
retomar estudio tratar conseguir
tampoco economistar sastr decorador
tanto viejecito despistado mismo
amiga nuevo vecino niño
adrián poder descubrir máquina
perseveranciar nunca salido lugar
ver si tortugar realidad
decir mono espero disculp
pasar página empezar leer
ambos mano nadar solo
ricito oro llegar casa
siempre llenos color ojo
aquí decir madrastra encontrar
siguiente paso difícil decir
director bajar rápido llegar
adelgazar hacer él casi
hado azul llegar taller
día siguiente multitud aún
llevar mano boca decir
cruzar ventana dar golpe
ocurrencia divertido frase sabio
comenzar sentir él cansado
entonces permitir tío conejo
cuánto progresado dos sastre
día niño descubrir escondite
poder descansar niña dormir
lloro chillido aparecido ninguno
elefante preguntar traen sandir
tanto pegajosa imposible soltar
poner felicímetro automáticamente decir
dormir plácidamente león pequeño
llegar aquel tarde contentísimo
acuerdo enviar niño galaxia
arrasar país hacer prisionera
él él dejar miguitir
simón pequeño figurito plástico
él mordisquedado todo parte
él dar yo clase
distinguir caprichoso abusón maleducado
rete continúar aspirar letra
inmediato proclamar hacer mismo
buena intención invitar almorzar
blanco decir ratito ratito
comenzar aullar quedar aliento
vanidad cambiar traje varios
feliz emocionado portar fenomenal
amigo pena sentir decidir
calle tomar flauta llevar
vez aunque herido nunca
corazón dejar preocupar él
famoso sinvergüenza deber cosa
igualado parecer tener fin
encender dentro árbol luz
disponer buscar pulpo pez
lleno hueco blanco colorear
pirata negro parche ojo
cortar cuero colocar pieza
dejar padre visitar él
poder favor dar yo
llenar ira plato sal
entonces hombre agachar rascar
tiempo castillo bubuah dejar
músico mismo dios música
animal vecino acerca pobre
solo roedor calle hamelín
volver ver completamente redondo
dentro convertir él volcán
historia hombre siempre curiosidad
hombre detener preguntarl burlar
tarde mientras caminar bosque
crecer bajo tierra contento
rato halcón notar violín
dar luz carecer todo
él volver cama feliz
nuevo esposa bosque afuera
moraleja fácil decir cosa
luz movimiento hacer imposible
dado maceta tierra fértil
niño madera escuela tanto
encontrar esperar canto mujer
guardar bolsillo diente amenazante
intentar detener él tocar
necesitar mover él oscuridad
trabajo rendido fruto acá
cuanto tocar separar inútil
tipo duro dentro ahí
aquel león bruto cruel
hacer él buen bocado
araña pasar camino sostener
preguntar hija querer regreso
ir voz tanto bonito
ahora reir poder cerrar
pan pastel tarta pueblo
fuerte atravesar piel atascó
volar dirección único encontrar
tonzio magnífico inventor chiflado
sabio encontrar tesoro malvado
alemania hamelín problema rata
piedra mansión comerciante rico
día hoy nadie pueblo
libro cada noche nadie
tarde erdamal reparto mago
mejor día locomo vivir
día charlar todo tarde
mandar llamar niña ver
habitant parecer pequeño puntito
solo escuchar respuesta mercader
fundado ciudad vivir 50
feliz contar compañía alguien
red encargarás siguiente paso
pérez páramo todo noche
hacer él prometer enterrarir
ser así duro modo
anciano comerciar pescado mercado
mitad hombre conocido minotauro
día cuarto día disponer
buen idea despedir amigo
varios cerdito verde pájaro
jardín mientras princesa devorar
salcedir detener borde solitaria
empujar cuerno arrojándolo cabeza
vida hacer entonces durísimo
déjame ir poder alguno
león medio campo piel
seguir princesa habitar casar
maravilloso solo ver cara
conocido decidir aterrizar lugar
espectacular allá sueños cualquiera
maría decir juez oler
decidir encargar él trabajo
brazo hacha regresar casa
seguir caminar cielo oscurecer
comenzar obra llenar polvo
vencer obligar esconder él
río topó amigo tortuga
mírame cerdo mira alto
bubuah asustar pasar noche
jugarir mágico estadio transformar
día loplanto mismo hambre
rey tocar silla convertir
dar cuenta líquido blanco
ladrón zona incluso crear
árbol luz alumbrar camino
dama corte rechazar guapísimo
puente dar fondo río
huevo harín mermelado moro
correr malvado dar tiempo
niño contagiado correr tras
día burro tanto orgulloso
mucho pena viajero ofrecerte
dragón vigilar todo vida
mismo cofre gran tesoro
decidido llevar demasiado tiempo
sánchez gritar igual torp
uno placa plomo ocultar
nieve escarcha primavera olvidar
decir plan sencillo poder
seguir celebrándolo cerca allí
saldría mal salto dar
siguiente anansi despertar enorme
poder arrancar rábano tierra
invitado retractara dicho hado
leche vender mercado pueblo
cuenta descubierto terrible miedo
dios buscar angelito poder
miembro concejo municipal encontrar
oir decir aquel tonteer
érase vez cigüeño presumido
aparecer perro ratitar ratito
acudir visitar él astuta
enorme montaña vecino yacer
dispuestir cuidar él bien
deleito maravilloso olor confunden
ping plantar semilla maceto
pagar alimento maría limpiar
convertir inmenso tatuaje lleno
destacar rápido crecer jardín
halcón notar violín violín
cocinar asopao pollo caber
ser malo tonto enterar
contentar cantar jugar decidir
amiga hacer llamar letra
dejar pan suelo agarrar
esperanza parecer llegar calma
ajeno ahora adelante condenado
aprender apreciar feliz nunca
sentir ir dejar mundo
cambiar depender enfermo soler
deber ser tanto impenetrable
bajar rondar resbalar barriga
cocinar limpiar lavarl ropa
hoy dos fragmento calzado
mostrar cómo deber vivir
queja gobernant manifestación mundo
arrepiente hacer ir devolver
tiempo subir fuerte poderoso
soler pasar cosa equipo
tanto tímido atreveír quedar
llama tufo mofeta cuerno
zorra cachorra bobos ir
buen pasar pequeño agujero
empecer pues responder enano
largo delgado pico entrar
solo loco ratúnez seguir
vestir cada palabra forma
nadie poder dejar reir
dar tiempo recuperar él
todo comunidad unió festejo
color sangre normal pasar
despedir él correr llegar
mañana mañana encontrar río
principio tiempo titar llamado
casa tiempo tomar llegar
hacer caminante quitir abrigo
así cada mes luna
transformar calabaza coche tres
aunque insistir solo pensar
miedo cada vez lanzar
ciudad pues casar siempre
abrir boca chillar gritar
cuatro día comer verdura
hombre tierrar proteger él
pasar lado preguntar bien
duro colegio papá tipo
terminar cuento saber dónde
año traiga flor bello
reflexiona bien formular deseo
regalar él veloz pony
abuela dar él importancia
palidecen decir trim convencido
palacio demasiado grande príncipe
bosque sonrisa rastro lluvia
hoy manchar enorme medio
contar leyenda africano hombre
aún anterior tal ocurrir
noche robar mil lengua
día ciudad ver atacada
llegar tercer cabrito grande
selva decidí demostrar fuerza
rodear niebla blanco cubrir
preguntar vos tanto deprisa
diario cortar leño bosque
oh higuera favor dame
solo quedar enorme cofre
tiempo torrir casi alcanzar
contrario parecer cony grandísimo
flor peor poder pasar
volver saber niño abuela
resentido hada olvidado presentar
concurso nacional dar igual
rosas intención llevársela bella
fuerte hacer caminante quitir
oveja caminar hacer él
huir correr malvado dar
fuerza noche entrar fantasma
hacer pastor cerca portal
alguno año colocar cerca
saber ojo brillante duendir
hora después extraterrestr seguir
cruzar lado río cabrar
melodío provenir instrumento diferente
evitar muerte cada vez
hermoso capa color rojo
niño haciéndolo soltar extremo
allí aparecer nadie día
pensar gustar ser amigo
aro tigre llegar palacio
problema creer tanto grave
ratoncillo perfecto además lloro
tanto valioso mago desaparecer
brotar rápidamente crecer convertir
poder seguro princesa real
gran parte unidos américa
vecino maría hornear mejor
alumno salir siempre correr
perdonara aceptar regresar palacio
esconder él escuchar salir
mamá poder echar papá
pasar todo noche pensar
vigilar travieso año nuevo
nuevo calma poder comenzar
pared pensar alicia reconocer
príncipe según pasar día
frente cómo poder atrever
ceniciento correr jardín sentar
pulpo día nunca conocido
frondoso árbol mosquito pasar
primero navidad cambiar mundo
cualquiera mentira partir 7
loplanto poco día varitar
roca notar nadar apresurado
él día entrar madriguera
elso miró través ojo
guau guau responder perro
sudor empezar recorrer él
dragón rodear listo lanzar
creer lado mundo verdad
pulpo sentir aliviadísimo poder
visto creer trampa hacer
camino largo ir atajo
volar metro decena dragón
lleno naranja grande dulz
vivir año día ana
regresar palacio nadie ver
pueblo necesitar urgentemente magia
magia amuleto extraño secreto
esconder todo gente aún
plantar maíz casi frente
salir cada noche secreto
valent defender aquel débil
amigos tigre separar mala
entonces aparecer varios policía
alguien barco robar tom
llevar gran disgusto descubrir
fip saber poder escupir
entrada sino anunciar recompensaría
si aprend error demá
último caníbal preferido malvados
tanto grande diente piedra
menudo reunir frente muro
página golpe si nunca
poder viajar lado mundo
luego colocar 20 colchón
siguiente llegar amigo cenar
aquí allá buscar comer
vivir granjero llamado wu
hacer pensar orgulloso plan
mundial pillapilla famoso juego
picador piedra vivir contento
creer usted tanto malo
vecino dar él cuenta
engaño así deshacer arpa
crecer convertir él memorabl
buen rato anansi invitar
allá buscar comer carnicero
paso dar arrojar miga
tarde afuero palacio familia
arruga volver joven fuerte
leer libro colegiorespondeír maría
arriba decir necesitar enví
esperar próximo visitante aquel
particular llenar riqueza familio
dar igual cuanta persona
pelo así pensar pelo
aún niño tanto valiente
suficiente manzana nadie sentir
frustración nunca volver sembrar
niño apenar pensar fin
tanto buen tocar piano
rápidamente luego pasar todo
llorar mover él todo
esquina juan encontrar hombre
sandir poder hablar responder
devolver él burla aprendido
adorar color oscuro tinto
chorro tinto grande vida
pony empezar ver él
alzar cabeza miró hacia
poder ayudar amab él
ciudad servir obedecer miedo
correr llegar destruir calzada
forcejeo pastor cargar premio
anansi escondido detrás ventana
aliviado chilla descubrir hablar
vergüenza poner él peso
ficha blanco aplauso grito
jurado cucaracha lombriz escarabajo
hierro rojo vivo beber
si abuela refeer libro
tiempo colocar bien pieza
pajarillo volver despertar cada
ser bebé ser embrujar
junco esparcido secreto reino
decir llevar vaquito pueblo
habitación niño caso alguno
ocupar pedir exigir nunca
ayuda tío perico brujo
mucho casa escuela iglesia
humor elefante conseguir divertidísima
nadie dudar reyes excelente
aquel bruto acompañar ciudad
dibujo aunque hacer niño
haber usar cuerno lugar
extraer hueso exigir pago
ajeno disfrutar centavo trabajo
ocupado aprender luchar apenas
precisamente junto borde acantilado
puntudo encontrar camino abrir
mil año sobrevivir cambio
dar golpe vez pom
día bruja país vecino
llorar gritar asustar peor
descubrir sorprendido escritor duro
vaciar él odio rabia
anciano carpintero buen gepeto
casillas blanco cruzar reino
gran cambio marco comenzar
crear mujer hermoso llamar
aquel ciudad sólo hablar
tanto pequeñito decir cabrito
estudiar leer antiguo fabuloso
barbero enterrado vergonzoso secreto
viru echar culpa alguno
voz terror doctor reyes
gritar vendo red roto
él únicamente fortaleza demostrar
ciudad después aplicarl hechizo
cómo poder comer uno
poder dejar anansi completo
parado mirar fruta varios
terminar ser tanto pobre
cigüeña aprovechar probárselo rápidamente
olvid mucho paciencia ocupar
frijol terminar plantar maíz
sofía seguir contar observado
momento parejo destacar rápido
azteca grano maíz prometido
hacer falta leer estudiar
pie falso vera niña
tonto sino nuevo jefe
aquel día siempre acostar
aquel ocasión primero momento
marioneta varita mágico despertar
rana encajar bien rock
él ver cierto coco
oir demá pez lugar
mirar mamá dejado vaca
noche dibujo despertar aterrorizar
primero cuervo zorro visto
encargarás siguiente paso difícil
rara vez cruzar palabra
año siguiente volver ganar
seguir tía mostrar él
lastimar brazo hacha regresar
cerdo comenzar planear venganza
mago tardar inventar manu
mundir nunca comido nadie
trabajo inmediato pagándoles enorme
desagrado nunca volver comer
aldeano responder ayudado así
león encerrado jaular grande
todo vida tanto cerca
deter vuelo conversemos momento
creido ruido hacer ala
quemar él cabeza hacer
usted pesar ser rey
músico particular llenar riqueza
llamar él niño maceta
compraré inmediato uno gallina
ayúdame pequeño parte cargar
aprovechar cualquiera despistar dar
imposible verdad ver arrugado
gigante egoísta todavía invierno
reina dirigir hacia dormitorio
decidir burlar él hormiga
tanto cansado vida según
fama olvidar sueño ser
allí pues saber cosa
saber espanzurrado pared dejar
horrible pensar tanto grave
aseguro recompensar mereces haber
recorrer largo largo camino
decidir intervenir mismo arma
reflexionar asunto buen rato
fuego dejar caer pequeño
sentir pequeño insignificante preferir
apenas quedar brillo mágico
árbol poder ser mucho
así decir mono espero
árbol tan lejos casa
acostado cuna actuar bebé
luego pensar contar mamá
papelera junto puerta primero
tía gallín entrar casa
erdamal aquel cofre nunca
finalmente cortar palo atar
uva verde saber bien
cantar canción infantil incluso
olimpiada videojuego mágico gran
mitad ese gran secreto
pasar tienda comprar doble
mismo hambre anterior además
tir buen actitud burl
silencio solo quedar esperar
cómo ir conocer así
saber gustar hacer león
tanto seco solo poder
ordenado incluso dentro mochila
hada mago gran hechizo
miedo gigante yonk mejor
piedrecilla aguo subir fin
dar yo comer beber
llegar medio noche escuchar
maría luisa solicitud final
cuanto poder sanar él
mago decidir intervenir mismo
querer escuchar demasiado ocupado
andar problema seguir instrucción
pionero mirar pasar invitar
sucio ceniza hermanastra reír
disciplina actuar rápido descuidadamente
par zapato decir entusiasmado
recuperar él herida reconstruir
vivir feliz anhelar ser
según acercar pueblecito casa
mosquito atacar león picándolo
lengua ciudad después aplicarl
santo todo demá fiesta
delicioso bocadillo flaquito decir
cama despertar sentir raro
ciudad lleno casa persona
cerca portal noche navidad
aquel día divertir lindo
liberar él decir oh
acerque haré creer sandía
ver yo ciudad mostrar
mono llegar rincón jardín
mitad espectáculo tablet tomar
pepo responder aunque saber
llorón ir ser divertidísimo
otoño dar rico fruto
forma niño travieso acercar
deber encontrar mejor audiencia
contemplar gran artista convertido
volar isla creto hacia
bosque ver cerdito menor
libro aventura bien entrado
ser rey decir picador
siempre jersey larga manga
padre habérselo regalado pedir
visto llevar turbante grande
gato blanco gato blanco
frondoso arbusto esperar pacientemente
proteger libro difícil palabra
gentil simpático ofrecer ayudar
él fuerza respaldo sillo
bebé culpar hijo mayor
si dragón ganar musculoso
respuesta mismo buen suerte
semilla aquel paz casi
sapo perdido buen apariencia
acaso saber día campesino
automáticamente paso maría josé
pedir favor regalar saco
contento incluso malhumorado rino
funcionar perfectamente solo conseguir
cerrar entrada dejándolo atrapado
hércules bufón ir vencer
ratitar poner lacito colita
ahora mundo saber miniplaneta
poder hablar responder señora
nombrarte rey todo ave
rápido aguantar firme aire
si primero vez hablar
miel poder mover él
año día ana enfermar
ver aquel espectacular escenario
hermoso chico querer acercar
justo tiempo angelito perico
anciana anciano tirar anciano
detener carcajear él mientras
siete mentira unido mágicamente
trum sucesor causar enorme
llevar él último robar
ninfar entrar tercero vez
cuenta mal tratado amigo
permanecer encerrado servir ser
pueblo azteca solo alimentar
empezar parecer pueblo fantasma
cómo secreto estallar obligar
olla cubrir cáscara huevo
él visitar diariamente lugar
ninguno humano lanzar feroz
pronunciado poder cambiar curso
parte mágico polvo blanco
ver él perder poder
pulpo tanto valiente agradecido
uno grande oreja oír
lanzar barco arrecif rodear
atorar pequeño hueso preso
madrín dar trozo mantequilla
atar cordón dorado devolver
resultar pez artista adorar
menudo acercar preguntar nombre
crecierar árbol menudo golpe
creer fantasma macer nuevo
nacimiento otorgar pequeño regalo
siguiente dos ratón viajar
mundo éxito ratoncito pérez
entonces hombre encender cigarrillo
realizar precioso dibujo casa
cacareo así quiquiriquí responder
primero vez alguien adelantar
acudido comer aquel zona
concejo municipal sonar ligero
mundo convertir él lugar
reir poder cerrar boca
patito grande gris vez
joven llamado maría vivir
gran día descuber sorpresa
primavera otoño brotar manzana
bajar rápido llegar ver
masticar sino necesitar ser
viejito llegues ser abuelo
pingüino andar lento torpón
aparato ayudante gracias expectativa
desear hacer aún grande
tremendamente ver casi año
mejor pasar tiempo niño
surgirir todo magia fortuna
rana peluquero cortar pelo
convertido troll romper llorar
engordar poder caminar regreso
historia simple único cab
sígueme decir perro piko
cama duende sentir extraño
10 hora silencio solo
trabajar año apenas recibir
enfureceír risa desprecio decir
mejor hecho nunca tras
bocar pensar madura jugoso
comenzar llorar decir cómo
vivir anciana mujer dos
aquel forma actuar ver
cubierto césped suave verde
tanto peligroso pequeño error
descubrir corazón diminuto lleno
resultar monstruo siquiera mirar
rey selva malherido combate
entrenado amigo mono controlar
acercar elefante llevar canasto
rey recobrar mando tiempo
ir hervirlos tener merienda
habitar tierra cocodrilo piel
menos tonto sino nuevo
día regar rábano protegía
cada vez nacer niño
final mago solo quedar
esposo puerta principal preguntar
ser peor libro mundo
cansado hambriento responder dios
parecer ventana abierto espacio
termín decir tortugar descansar
cada abrazo hija perfume
difícil decir tortuga sabiendo
poder demostrarte ser bajo
tanto fuerte tanto malo
joven perder esperanza enano
junto puerta entrar casa
conejo sentir pena ver
oro incrustación piedra precioso
pues poder creer lado
tierra mar até costa
seguro pastel helado chocolate
maría desconcertado extraño petición
traje informar él fecha
ir conocer así mundo
grande alcanzar resultar muchísimo
maíz trigo todo joya
cortar árbol orilla río
siglo lejano país norte
nombr listo nombre dirección
pequeño mosquito gracias compartir
estudiete explicar divertido aquel
comadreja decir frustración nunca
mil año resultar nuevo
fangosa exponer piel abrasador
casar siempre sitio perfecto
crecer fama enfadar él
intención astuta araño nunca
pequeño mejor deseo crecer
mayor deseo ser nombrar
ferocitauru temible tiranosaurus rex
bonito ganado tanto concurso
repente picador piedra convertir
tortuga retar competir carrera
palabra polilla seguir luchar
durmierar visitar cuarto rata
silla frente ventanar contemplar
luz color ropa maría
día nube poner delante
manga larguísima nadie dar
año aquel niño entrado
llegar nuevo rey querer
volver cama feliz haber
dulce melodiós voz decir
oído gran utilidad animal
señor salcedo comenzar sentir
hacer primero venir cabeza
llenar agua río comenzar
aún terminado aparecer llorar
aunque pueblo grande blacky
través cuál oirir voz
apenas ver papá pues
viejo caer anciana anciano
bufón traer cerdo debajo
invitación participar aquel primero
trum reino escuchar todo
ver ser león fuerte
mamá ver cómo secreto
humilde leñador vivir dos
