text	class
i think you only ask for help to make me feel useful and help me gain some perspective	1
i actually feel really horribly vain posting this but im kinda curious	0
i just think it is so quirky and the other day i was not feeling along with a few of the kiddos so daniel being his sweetheart considerate self went and got me this movie	1
i feel like maybe a yoga class and later a long hot soak in the tub with some beautiful perfumed bath salts	1
i feel we should not be supporting these rebels in a violent manner at all and particularly not give them weapons or funding	1
i feel creatively inspired	1
i had expected it to be rather sickly and the coconut gives it a nice tropical feel i was disappointed there were only two	0
i was feeling nostalgic about those days where i officially belonged to this city after getting married to shubhi in feb	1
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it	0
i think she is pretty sure she is not the victim then feel really unfortunate to bobo if she is really pregnant	0
i go home i feel so empty	0
i was alone in a cottage i often stay in i was woken up by a rustling sound in the middle of the night	0
i just hope we can help him feel less afraid and more supported and loved	0
i find that i never stop feeling excited for our company s future	1
i just say that i feel like a terrible person for not being completely in love with this book	0
i feel deeply pleased as my hand plane takes off thin shavings of wood with a precision that is truly marvellous	1
i feel like i am alone in this world other days i feel like i am surrounded or being closed in on and just want to be alone	0
ive written that blog post and i am feeling even more energetic	1
i think about it i feel a little ashamed of myself because ive been blogging regularly all year and it hasnt been that much of a struggle	0
im feeling quite lonely here now and its only monday of half term	0
i go to sleep as soon as my head hits the pillow i sleep deeply all night and i wake up feeling a lot less lethargic then usual	0
i did not feel frightened just frustrated that i wanted to go back to sleep but felt there were unfinished tasks i needed to attend to there wasn t other than to edit two articles on freud s dream of irma s injection which were near completion and have subsequently been posted on this blog	0
i feel highs so ecstatic that just being normal feels like a thousand mile drop and being unhappy is excruciating	1
i feel irritated and helpless	0
i want to feel like i m important	1
i had to stand in front of sinks and odkh milk in front of all the women who were entering the bathroom she said i feel offended and i try hard not to cry took	0
i don t want to bury the hatchet with even though it would be in my best interest simply because i feel that apologizing to a person that insulted me would make me feel like a punk	0
i think of how many years i spent feeling furious at my dramatic perspective of the world and my extremely sensitive nature	0
i get the feeling people think im indecisive and childish which isnt entirely true not to the degree that i show it anyway	0
i feel sorry for her she had a good thing in dh but she abused it and him resulting in his depression and diagnosis of generalised anxiety with panic features and then lost it	0
i am feeling convinced by the argument extended once by bal thackerey of not allowing pakistan to play on indian soil till they show by thought action and creed that they really want friendly relations with india	1
i feel so empty while i m turning your corpse inside out like something broken never actually alive but now you re ended one more for my collection	0
i think about myself personally when it comes to investing i feel like i would fall into the investment category of getting greedy i think id invest into a bombing market like coca cola in the s	0
i feel simultaneously superior and inferior to each other writer and i wish i could take back some off the things i said	1
i set off home feeling quite smug	1
i am feeling rebellious which is often i suppose	0
i ended the episode feeling really pissed	0
im feeling quite mellow now in spite of having raging pms the past few days which means im likely to erupt with little or no warning	1
i am feeling completely useless lately	0
i feel like im selfish	0
i do love the inverted suspension though its the only one that makes me feel graceful and elegant and sexy	1
i think i used to overeat i mean one reason anyway was because i wanted to make sure i didn t feel deprived later	0
i have admitted defeat and asked the other half to come back from the lake coz i just feel so uptight already	0
i feel infuriated every time that the christmas season draws near	0
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy	0
im back to my un emo mood re reading that post makes me feel like im over reacting over something so petty	0
i feel i must write you owls until i am fearless and brave	1
i do have good days and bad days but the bad days are awful resulting in constant trips to the bathroom a lot of pain bloat and discomfort lots of blood and just feeling completely exhausted and rundown	0
im talking about stored up hurts and pent up rage at the feelings of feeling not accepted insecure marginalized and not belonging anywhere	1
i already went out of my way to be as considerate as possible to others but now i feel like i am being abused	0
i coaxed myself up onto a high horse reminding myself how gratuitously and nastily homophobic stand up comedy tends to be and how even if sam kinison s semi famous friend or his opening acts did not happen to fit that bill i still didn t feel like supporting the industry	1
i feel so lucky to live in portland land of delicious food	1
i feel you re in for an unpleasant surprise	0
i feel rebellious today so i ll leave this as a warning to myself on how radical i can be	0
i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter	0
i feel utterly useless as a mother because i just dont know what to do	0
i am terrified and not feeling terribly keen right now	1
i learned the silent crushing pain of not being wanted and feeling i was unloved	0
i must say that i feel that i accepted something of a poisoned chalice	1
i used to feel from your music is now gone and it has been replaced by a bitter taste in my mouth and a lot of sadness	0
i feel frustrated and upset and demotivated when i dont see a whole picture of the curriculum that im studying for example english class	0
i feel sympathetic to them its hard to lose that third place	1
i possibly understand what she was feeling i ignored her words ignored my feelings of uneasiness	0
i feel like we re not a moonlighting type of show where all the tension is resolved at the end	1
i only have a few hours of sleep i still feel i have to stay faithful to my goal	1
i feel shy to him all the time	0
i am baffled hurt that i feel assaulted and unsafe	0
i have here is that whilst in one turn ill want people to make me feel better but on the other i dont want to have to think about it at all	1
i feel invigorated and energized and ready to go out and save the world	1
i just hope we can help him feel less afraid and more supported and loved	0
i feel i am more of innocent and easily getting emotional to silly things	1
i guess i m feeling a bit nostalgic	1
i had been feeling was all my fault that i had wronged her and caused her to abandon me	0
i feel so tranquil right now its great	1
i am only confirming that i feel what acker felt or recognise at least that rich world she describes	1
i feel like now i have the opportunity to become smart to embrace knowledge and really learn about everything i have daydreamed of learning	1
i guess a lot of her is pretty high even though i can feel her hiccups and im guessing hand and arm movement low	0
i feel like at the moment with all the things to do and worry about and organise and because he is so supportive i have let myself forget to give him the attention he deserves	1
i can only have a rest when i feel that i have fully resolved a problem then i can turn my attention towards something else	1
i was ready to go if need be and fortunately tim was feeling ok and feeling well enough to go	1
i also feel disappointed in his mother gertrude	0
i feel like every day is special unique	1
i wasn t feeling reluctant because i was spending money we don t really have an ipad at x price is way out of the question	0
i feel disgusted c kj rel bookmark class permalink nov middot	0
i feel hated and isolated but it doesn t hurt	0
i sorta feel like everything is so delicate right now	1
i try that i just feel that im being judged by eyes that only see me as a weird and vain bastard who thinks so much of himself	0
i have every right to feel outraged that their legacy may be in danger	0
i miss how safe and comfortable he made me feel and how vulnerable i was able to be with him because i knew he loved me	0
i always feel a bit triumphant when i find a gift for my youngest brother that is not a movie or a video game or anything similar to those two	1
i hope to make blood clots feel unwelcome in my body in any way possible as one of my new years resolutions	0
when in a car accident where car was total wipe off wipe out	0
i am feeling more pleased over this light fixture thing than i was	1
i feel ashamed that i again let it come that far	0
i feel a little intimidated	0
i feel naughty a href http www	1
i watched him run by i couldnt help but feel envious	0
i spent the day laughing so much i can feel my jaw aching for all the exercises and stretches it made	0
i was a child this song makes me smile because i was brought up the mediterranean because you only love the sea when you feel it in your bones when it makes you frightened and when it surprise you every day somehow so many ways	0
i thought he was going to say no but he just put on what i call his smacked puppy face and that always makes me feel rotten	0
id love to hear how any of you handle these types of situations as well so if you have any stories of your own feel free to share	1
im sitting at the spare desk feeling totally disillusioned and frustrated with my working life in general	0
i know gay analogy but i am feeling weepy	0
im guessing with everyone standing there she was feeling timid about moving through the crowd again	0
i feel ok lol	1
i feel honoured to wear this one	1
i do not feel rejected anymore for i decide what my value is	0
i love being able to wear track pants in the day time with the cuffs rolled up with anklets and ballet flats i love being ridiculously warm and feeling smug as i see people struggling with bags with their big coats with pockets like these who needs bags	1
i always feel rushed on the way to visit no comments	0
i dont know if i should feel dismayed or pleased that he tells me that they have just taken on new staff first time in years	0
i have been with petronas for years i feel that petronas has performed well and made a huge profit	1
i love taylor swift because she has so many inspiring song and her song always represent what i feel and she is so damn gorgeous and she is very nice to her fans	1
i feel like thats so vital to make your room a reflection of who you are because you will need to feel at home while away from home	1
i was dreading it and feeling irritable	0
i really feel regretful when hearing that shinae got married to another man oh it s really sad i really hope that alex and shinae can be a couple in real life they re perfect for each other	0
when people harrass me i feel oppressed by their behavior	0
i went miles and it wasnt that i felt tired but i noticed that my bottom parts or the front of my pelvic bone was feeling numb and sore	0
i bet almost each of us though once in their life ever had this kind of feeling called jealous	0
i cant help but feel a bi jealous of their professional organization good support system and comfortable living situation	0
i couldnt help but feel totally distraught and utterly helpless when lorena was kidnapped and tortured almost to death by a band of enemies i was desperate for her freedom	0
im referring to a comment in the pattern right now not feeling that divine really since i probably was born with a set of dpns in my hands	1
i feel so damn complacent	1
im not feeling well lets just enjoy some pictures taken from the field trip	1
i had it in my head as it relates to the workplace because i had just been irritable to someone a tiny bit lower in status than myself in response to someone who is higher than me making me feel momentarily pressured	0
i feel the carefree days of my youth doing the same	1
i started to feel rotten sore stomach sickness and needing to go the toilet	0
i cant hate too much because i feel like shes looking pretty damn flawless in these pics	1
ive been feeling a bit pressured because theres so little time left for two books	0
i know it signifies him feeling not dangerous secure and relaxed so i don t guess it is causing him any undue stress	0
i texted haircute rather than haircut but since i feel like i was cute afterwards haircute is justified	1
i feel loved and blessed thank you allah	1
im feeling less annoyed with him	0
i feel empty inside iphone wallpaper mobile wallpaper to your wap folder img src http images	0
i just am so tired of feeling lonely and yet when someone comes along who can take away that feeling i run away	0
i was also worried about the long trip because i had vomited the night before and as you may guess im not feeling well at all	1
i wonder how this feeling of being sentimental can help me through the agony of writing a report which dues tomorrow	0
i feel excited about what im doing again i feel like i have a ton of catching up to do	1
i could feel blake more sharply and i felt a little more delicate i guess you could say	1
i drove away from today feeling overwhelmed with news that i have heard a trillion times and news that my heart knows already	0
i feel the need to tell you that phone calls do provide some useful purpose as annoying as they may be	1
im already feeling sentimental about his time as a newborn as he was so wee and has sadly outgrown some fave thrifted outfits	0
i feel pretty can you spot my son	1
i feel honored to have been on the show and my students were very excited for me giardina said	1
i feel is awkward because it s too high four steps for a	0
i am the one feeling punished	0
i feel this energy of the divine flame	1
i feel like the sequel was ok but overrated not as great as so many deem it to be	1
i most days feel like if braeden and calvin are happy then it has been a successful day	1
ive always longed to feel the beloved tenderness from a father	1
i do not know what to do in my current space to make myself feel more comfortable	1
im tired feeling crappy hungry and still dealing with ridding my house of the smell of vomit	0
i don t feel like i m a valuable person	1
i feel relieved that a rescue party has arrived	1
i can breathe his scent the first time i will feel his embrace if only in a friendly hug in five years	1
i drove home i was aware of feeling not like myself and then she called to ask if i was ok	1
my classmate got a b for his homework while i only got a c when we got the results he acted as if he did not merit this grade i found that his humility was hypocritical and i found it disgusting	0
i have always loved my jobs and loved to work and i truly feel like being back there with my patients and co workers will do me a lot of good even if it is only for a few weeks	1
i hope to feel a waft of cool air but no luck	1
i feel like i m giving a speech after receiving an award or something but i would like to publicly thank mark for being so supportive	1
i feel depressed nearly all the time	0
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say	1
i feel soooo impatient	0
i don t feel that my society has accepted me whole heartedly	1
i started getting back on track health wise and i already feel relieved	1
i feel stupid typing that	0
i am and feeling total love and acceptance for my body in the moment is just as important as experiencing the exhilaration of a new experience	1
i can feel again i want to talk about the positive feelings of love good will and support that are raining down upon my detoxified mind and body and on behalf of the team here at iws radio i want to give a virtual hug and say thanks to some people for making me smile during sunday s show	1
i started to feel super emotional all the time which was so strange	1
ive learned that even when im feeling hopeless theres still hope	0
i was actually feeling quite smart i was understanding the questions without even having to do the readings	1
i want to be swept off my feet and feel special rather than just being told i am	1
i feel very irritated and annoyed today	0
i feel so rotten for them but there is nothing i can do to change that	0
i quit my job in financial services feeling disheartened and disillusioned and i took a complete u turn in my career returning to university and studying something very different from what id been doing in my job	0
i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife	1
im feeling playful google doodle of pac man game	1
i feel very much the tragic side of life but my endings are always happy somehow	0
im feeling romantic towards not another relative friend coworker	1
i feel this way i withdraw become irritable	0
i really feel for these innocent kids because not only are they taught unconscious racism but then they are taught overt racism and they have no choice but to follow	1
im not really feeling it so far though i think i liked the film better	1
i feel at least dating them would not be in vain	0
i spend my energy making the world i live in a better place and do everything in my power not to kick people or feel superior to others who dont have the same challenges as myself	1
i feel so honoured to have hosted this series to have such talented a	1
id pop out of the chair feeling like i should be doing something more worthwhile	1
i feel like they are a second family and they all are so supportive and love little miss rylin	1
i am feeling quite fond of my friends	1
i woke up feeling this aching in my heart	0
i am feeling a bit restless these days	0
i feel soo naughty today	1
i can t get past feeling like a poseur to become an advocate i was ecstatic to see that keiko zoll has done it	1
when i hooked a girl in kitwe she was very beautiful for my standards	1
i don t know i feel confused	0
i do feel very angered though	0
i feel more vulnerable and more in touch with my heart with making choices that are better for myself and my family and less worried about pleasing everyone else	0
i feel like you are more into self promotion than truly caring about the greater good	1
i feel more adventurous willing to take risks	1
i feel like someone who really should learn not to stress out because we live in an ultimately benign universe	1
i feel like its the perfect time to enlist some extra help	1
i shut the door but i didn t feel triumphant	1
i strongly dislike feeling stupid which is a feeling that comes up for me at least once per day and often more frequently than that	0
i feel like i hated them when we argue	0
i have not seen any change in my appearance but i feel more energetic i am sure this is just mental	1
i feel more confident and have to think less about what i say on the days i avoid english and read french grammar in the morning	1
i find it very hard to feel relaxed for more than hours	1
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me	1
i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a	0
i needed to feel loved and accepted although i falter	1
im guessing with everyone standing there she was feeling timid about moving through the crowd again	0
i feel distinctly called in clermont to focus on these little ones that seem naughty	1
im just feeling rebellious	0
im feeling less generous i call her psychotic	1
i finally realized that all i needed was to be and feel useful and blogging allowed me to do that	1
i feel like drinkin drinkin angry someones gonna die whiskey and beer les paul a href http farm	0
i immediately reacted to that image feeling it was more a mark of kubricks ego than a clever nod to a film gone by	1
i have a feeling he will just follow sweet luke around everywhere he goes when he does	1
i need to know what her thoughts and feelings are this is not a casual play anymore for me anyway	1
i just like spoiler cuts they make me feel simultaneously badass and considerate	1
i know it s best to support low arches and the footbed of these feels supportive without feeling too high	1
i feel like nobody is giving me a chance to explain and accept that i am never going to be happy doing what they expect me to do	1
i feel like ive hated on this series a lot since ive started blogging so a little honesty is in order	0
id been feeling so smug about not catching what had been going around	1
i like products that are organic because i can feel assured there are no added ingredients that could have potentially negative effects	1
i am feeling valued and supported which is great	1
i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets	0
i suppose thats wonderful because it means that they can learn so much so quickly and also make me feel like an idiot much the way i did to my parents when they couldnt figure out how to leave an outgoing message on the answering machine	1
i feel so all alone no ones gonna fix me when im broke how do you cry with inanimate eyes	0
im feeling like there are no casual dylan fans	1
i feel like my brain is going to expload and its going to be messy and painful	0
i really feel like this year will be a mellow one	1
im sure anyone whos seen someone close go through this process you feel entirely useless in this situation not being able to take away any of the troubles or ailments	0
i look at your kids i feel jealous sure	0
i definitely feel like hot stuff strutting down the road in it a href http	1
my flatmate was asking questions about my relationship with my boyfriend	0
i needed to clear my head he tells him and sighs when he feels gentle fingers in his hair	1
i continued to feel this way for the next couple weeks until i convinced myself i should just take a pregnancy test to be sure	1
i feel will be warmly welcomed on any floor	1
when i heard what mark i had got at the entrance examination and i realized my admittance to the university was almost certain	1
i feel im a fairly generous person but i dont sell or give away the trudgers i make except as gifts to close friends and relatives	1
ive got a feeling that some day it is not only me who is proud of myself but my family will be too	1
i learned about different things like how family plan the arrangements and even how real the pain can feel when a loved one passes on	1
i was around and feeling fearless and excited	1
i can like tbt when i m feeling nostalgic	1
i have come to a place in my life where i feel having a romantic partner is unnecessary	1
i did take a surprise two hour nap this afternoon though and woke up feeling not as exhausted as i did this morning so maybe thats a good sign	0
i spent hours in my aunt and uncles bed room with my cousin my back against the wall under the window feeling completely ecstatic and my cousin was next to me just smirking because she knew he had to be different from my other friends	1
i was feeling very homesick and was a good reminder of how blessed i really am	0
i was ready to meet mom in the airport and feel her ever supportive arms around me	1
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet	0
i feel much better and i am back even to university	1
im still feeling groggy but i got more than hours so i should be fine	0
i have to admit to feeling pretty envious of the commuters there a south african summer has got to be a tad more reliable than a british one	0
i am feeling terrified anxious excited and apprehensive among a million other things	0
i thought we were going to talk and try and work at things so i was shocked to find out steve had decided he wanted to be on his own the thing that broke me was the feeling of been unloved	0
ill feel uncomfortable although i always heard people or friends around calling their loved one honey babe my angel darling peaches pickle gt	0
in a dam lake	0
im feeling quite mellow now in spite of having raging pms the past few days which means im likely to erupt with little or no warning	1
i more important than going fun ipad strategy games original boots from ugg wear ugg boots this winter low cost ugg boots uggs need to get washed inside they are also lightweight so you won t feel burdened with them speed up finances with payday loans payday loans the monthly solution for you	0
i guess i do feel the need to mention the realism of the just how tragic the hardship of everyday life in the mumbai slums really is	0
i feel that people are a shamed of me	0
i feel about putting on brave faces fuck that let s get real	1
i have a confession to make and i feel so rotten about this	0
i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave	1
i hi tech color club holiday splendor sally hansen cha ching kiss silver glitter i was feeling a little festive tonight so i decided to	1
i may be having a constant dullness and heaviness over my heart that makes me feel restless bored and unsatisfied however i know very well that such feelings are evoked by the time of the month	0
i feel like watching some delicious trash i always want to include my partner in the ritual	1
i feel this way i withdraw become irritable	0
im feeling stressed about this more than i should	0
i should say how i feel that he s perfect for me and this love is for real	1
i feel for the tender teenager who i fear may have developed a life long aversion to pie but i confess i tip my hat to julie s grandmother	1
i dont think i would have touched this book if i hadnt received it for free but once i got past my judgments about the author white people problems entitled rich whining and self delusions i feel like i got something valuable out of this book	1
i was feeling a little awkward about seeing some folks	0
i feel annoyed by that girl	0
i feel insulted but i go out with him anyway	0
im not going to tell you to feel loving feelings toward her	1
i find this scent pretty generic i actually feel like bath amp bodyworks didnt invest much time in this collection like they created sweet on paris then decided to throw together two other predictable scents	1
i had picked oxbow in the kentucky derby two weeks ago but he turned up as the longest bet for the preakness today and i just had a feeling that the lucas stevens combination wouldnt be beaten	0
i have a gut feeling you will do fabulous and i will be the one taking notes love mom journal entries september th	1
i am close to her i get this complete fuzzy loved feeling grew so fond of	1
i feel shy to him all the time	0
i feel really damn terrified and rushed to my classroom where my friends are playing and joking around	0
i just feel stupid for not realizing what was going on sooner	0
im shocked i feel my own little problems put into perspective and i feel heartache for the innocent lives that have been ended	1
i was feeling compassionate at that time though ive no tissue so i thought my form of compassion lol of asking around for it but i cant stand the look on her face ah	1
i hate feeling dumb i hate people who make me feel dumb or like i am being a baby	0
i struggled with feelings of guilt as i took very gentle care of myself during my recovery and sometimes even now	1
i always tell them to just wear what makes them look feel cute	1
i have a feeling she will sleep through the night more and be a little less agitated	0
i feel my own heart a lot to make sure i am still there	1
i feel like beloved	1
i feel virtuous expressing my fears of contamination	1
i sat there for a while listening to the wind blow through the trees feeling so calm until she was finally ready to come	1
i feel sure it does	1
when an alcoholic stood dribbling over a food counter	0
i am so blessed and feel blessed to be able to share my creations with you	1
i know we often feel like we dont know what books to use during our lessons and sometimes find the provided leveled readers to be boring	0
i will reach out to you when i am feeling uncertain and needing the support or the slap upside the head that i know you can provide me	0
i love hanging with the kids feeling calm focused and relaxed a burgeoning garden working out spending time with friends and loved ones dinner parties celebrations creative time weekends away healthy house plants	1
i cant shake the familiar feeling that ive got precious little time left	1
i have written but you feel the need to point out that someone somewhere could be offended if they were to read my words out of context knowing nothing about me and after having a really bad day do not bother to inform me of this	0
i like the feeling of making some difference this time i was really reluctant to change at first however get used to it after a while	0
i feel the most peaceful and at my best when i m in nature	1
i have no feelings of discontent	0
i go to bed feeling very distraught otherwise	0
i was admiring and envying the figures of the twentysomething set ahead of me in class and feeling ugly jealous	0
i feel assured thankk god	1
i feel awkward because v has already asserted that she is doing that	0
i feel like my life has become rather dull it lacks excitement but i feel next year will be different	0
i may trust my partner to look after me and my needs and those of our relationship i feel threatened because they arent in control of the situation and obviously neither am i	0
i listen to this song i can feel a sorrowful atmosphere	0
when my mother kept me in leadingstrings	0
i feel so blessed for my husband and my family supporting me on my mission of health and happiness and spreading it to my community and the world	1
i don t feel devastated	0
i hate missing practice because i feel like the reps in practice are vital to your performance on sunday	1
i will review the film after this blog entry but for now as i have david sitting here in my garden feeling slightly smug after just discovering his film had been shortlisted for best film out of entries	1
im pretty effin excited that i feel like im back where i was when i started oh so fab therapy	1
i will soak in the feel of my beloved next to me	1
i bring these to mind and feel the joyful laughter well up within my heart it becomes hard to remain weighed down by the heavier negative feelings	1
ive been feeling jealous lately of bloggers going off to author readings and book si	0
i am so incredibly thankful for the temple and for the blessings the promises and especially the feeling that comes over me when i am either inside this amazing building or simply when i drive by	1
i feel somewhat frightened by the number of policemen that arrived but told them they may come inside and search for whatever they need to	0
i feel horrible again today	0
i feel some people go a little overboard with a cake face or just too much going on and end up looking super unnatural	1
i am feeling peaceful yet determined as i listen to the slight humming noise of the ceiling fan	1
ive been feeling a little stupid because i dont know how	0
i feel a little more relaxed	1
im siting on the couch feeling like i should be doing something productive but im not sure what	1
ive also discovered that because i feel less agitated by caffeine and cravings this coping method is unnecessary huge	0
i feel an eager anticipation	1
im feeling today youd think that the men had beaten me up	0
i had it in my head as it relates to the workplace because i had just been irritable to someone a tiny bit lower in status than myself in response to someone who is higher than me making me feel momentarily pressured	0
i feel a bit more confident about them now so heres a gorgeous pair of cream amp lemon shorts i recently purchased in the warehouse sale for	1
i didn t sleep well the night before and am not feeling half as brave as i was yesterday	1
i got when i went home sick today i m still feeling a bit shaky and for david helping me fix the broken handrail on the basement stairs	0
i feel like every day is special unique	1
i need to get a job but due to my very silly head i dont really know what i feel passionate about anymore nor do i know what drives me	1
i am feeling well and happy with my progress	1
i should go to sleep but i m feeling reluctant to let go of the day	0
i feel like i can read all the articles and blogs and even the press releases from the akron marathon in the world but nothing can calm me down	1
i have been feeling especially emotional for some reason	0
i have a large parcel of time or am feeling reluctant to write i set our kitchen timer for minutes and write until the bell rings	0
i was able to work in the studio all week though im feeling a bit gloomy about how slowly things seem to be progressing	0
i am feeling most disheartened this week	0
i feel quite disturbed about the whole thing and to top it off im feeling shame	0
i was made to feel like a pathetic piece of shit because i suffer from a mental illness multiple actually	0
i ached so bad the bones in my toes hurt to walk and i swear i could feel my liver aching	0
i can feel passionate about taking a stand and maybe understand that this one as yet to be chosen issue is worthy of my time and efforts	1
i instantly feel anxious that a police officer is going to pull me over	0
i wind up getting more things checked off the list but i feel lousy and frazzled by early evening	0
ive posted a blog and i feel like thats unfortunate	0
im feeling naughty i like to add a little bourbon	1
i feel whiney winey lush lush i just know everyone thinks im scummy and annoying	0
i stopped challenging him and always make him feel more than superior to me like magic the whole fighting stopped	1
i am feeling ok my incision is sore that is expected and i have some neuropathy in my fingers and toes that is a residual of chemo that ive been told may take a year to resolve if indeed it does	1
i feel like i am getting fucked	0
i must tell you i feel pretty stupid standing in my yard revving the motor letting it stop revving the motor and letting it stop times to get more inches of line	0
i began to feel accepted by gaia on her own terms	1
i feel that it is my duty to athf and their devoted fan base to show my support	1
i feeling dangerous at wimbledon width	0
i do feel confident that ill be able to compete on price my product is some of the most affordable on etsy but what if people would rather pay more for pompoms and multi colored braided ear flaps	1
i have crossed over and i am on safe footing yet still feel this way fearful for the unknown shaky uncertain	0
i feel blessed to see darn good talent right here	1
i feel doubly honoured because both river of a href http river driftingthroughlife	1
i am especially interested in hearing your thoughts or perspective on what you read about how men and women feel respected or lived	1
i feel like when nikolas gets here im going to have such a rude wake up call	0
i guess this is because that im feeling really excited about it	1
id probably be okay wearing either of them as id have more fun making ashlotte and feel gorgeous wearing it but i look more like talim and would most likely have more fun in her costume as itd be easier to sit and move around as well as to get on	1
i feel like watching equilibrium or something equally delicious and playing the sims and generally being lazy	1
i feel like an awful lot has happened in the past week or so	0
i didn t even feel cranky about it	0
i just want to warn you that im feeling rather delicate at the moment so dont expect too much from me	1
i was a touch pissed off that janine appears to have totally forgotten my birthday i feel a sarcastic comment in her card next week to make up for it	0
i wanna go to work feeling bouncy and happy	1
im feeling dangerously truthful	1
i didn t walk the whole distance just sampled four or five stretches but i came home feel charmed by the experience	1
i list them out i feel pretty lame whining	0
i hurt so bad i feel like i am finally getting punished for thinking the way i do and feeling so damn restless	0
i was feeling pretty low and despite it being the wettest summer i can rec	0
i dont know what guys could be doing doused in pain unless he brought a freind into it asasoulawakens i feeli am pretty loyal as part as shoots go	1
i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken	1
i feel embarrassed though think really red faced with steam emerging but i feel i need to do this to better myself as an artist	0
i was an outsider and i never felt part as i was new that made me feel disheartened	0
i lost him i realized that i really didnt have anything to fear and that in reality he was the one person that was helping me to trust again because i would tell him how i felt and he would give me back the same and it was starting to feel safe	1
i am feeling pretty optimistic about the final product	1
im feeling productive and brave	1
once i was caught by thugs aged between	0
i feel rich indeed	1
i can feel it in my aching bones	0
i feel and i dont need some dumb reason to legitimize or excuse the way im feeling	0
i feel that my beloved nakahara mai would voice her nicely	1
i wonder if this is just my bias from the fact that im doing a bible themed anthology and i feel like my intelligence is being insulted	0
i always feel like i should look cute when i vote	1
i feel like todays sweet treat would be something served at the north pole	1
i was older i might not feel as frightened about spending the time i have left alone	0
i see myself behave in relation to feeling positive or negative and the way others perceive me within doing so	1
i feel like we have so much to be thankful for	1
im just feeling so inspired now that my hair is freshly cut	1
i feel it pinging my brain and its not pleasant	1
i feel burdened both figuratively and literally	0
im feeling generous heres a holiday classic for you iframe allowfullscreen frameborder height src http www	1
im feeling a bit dull today but a href http thepage	0
i can help but feel sympathetic	1
i feel stressed i tend to scrapbook and make cards	0
i enjoy my life and wish to help as many people as possible to feel fabulous about themselves but i can only show the way	1
i think about it the worse i feel in his shoes i would be devastated not least because it was as far as he was concerned sort of out of the blue	0
i wanted to use older kx forks wheel w disc brakes but am was not feeling adventurous enough to try to figure out a stem and lowering the off road height	1
i feel that way considering most people are pretending to be the way they are and very very few are being sincere	1
i vow to be gasp nicer to everyone not just a select few marybeth and isabella lol i will say what i feel and not cover up something sweet with something shitty	1
i feel that i ll be doomed to long pants and ugly shoes for the rest of my life and i m not even yet	0
i want be there when she passed away or when she was not feeling good and same with my brother and other grandparents	1
i feel how totally utterly trusting and reliant on me you are i cant bear the idea of ever not being here	1
i know its been months but i still feel envious of my friends who are having their school holidays	0
im feeling quite positive at the moment	1
id gotten past the whole oh gawd im so humiliated i didnt feel humiliated	0
i think i can finally articulate it the prius is in its own shiny happy al gore wearing patagonia in alaska way somewhat insidious in that it makes driving feel like a virtuous act	1
i was at the cinema with my sister and her boyfriend a man sitting beside me started to stroke my leg for a while	0
im not sure why today i feel so horrible	0
i just feel like a smarter more well rounded person because of it	1
i took a little liberty here artistic license perhaps and went with a festive feeling for these as well	1
i feel that because of our own love of reading and writing that we are more compassionate and understanding about the struggles that both new and established writers go through	1
i have agonised over writing a review for this book my words just dont seem to flow i feel somehow inadequate for this task	0
i feel as though the art of the romantic comedy has deteriorated as of late and i am drawn to movies like sabrina notting hill and love actually	1
i could point to incidents in my childhood or blame my upbringing but that contradicts the notion of being aware of how i m feeling in the moment and choosing between intelligent options now	1
i start to feel my muscles aching and break out in cold sweat	0
i really love the feeling of being scared	0
i feel the word rich is accurate to describe texture and color payoff	1
i love taking in peoples smiles the way children giggle the gorgeous way little ones move closer to their moms if strangers smile at them and they feel scared the way teenagers are boisterous and full of life and hopes	0
i write now it feels like furious abandonment to embrace a cliche	0
i truly am i feel so disillusioned with the world after years of believing in helping others and getting immense joy from doing so	0
i feel pretty awful about that	0
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed	1
i feel this blank in my mind is stopping me from breaking under this weight	0
i duno i feel as if im doomed for ther rest of mi life	0
i am feeling a bit ecstatic about a kinda new clothing business brand sendi	1
i feel so much pain inside for their aching hearts	0
i didnt feel the cold up there because we had a fire every night	0
